feature,U,p_value,sig,mean_active,mean_failed
avg_community_smells,7129.0,0.005594097851271384,**,0.7759044844436541,0.652931478629503
avg_trad_smells,4371.0,0.0291608342314455,*,1.5579494944741266,2.1019304281236098
avg_ml_smells,5895.5,0.5767891871777042,ns,0.18417262448598468,0.15944382928586845
avg_vuln,4696.5,0.11032413474754972,ns,0.574941718484149,0.7568971477888675
avg_turnover,7208.5,0.0035591580573675766,**,0.3422137725176631,0.24951303457212587
avg_churn,5133.0,0.4163993462744475,ns,14393.92154240198,12754.592376327791
n_developers,8294.5,1.13530484752571e-06,***,105.71052631578948,24.976190476190474
avg_smelly_devs,6592.5,0.07078063236294174,ns,0.6239524356592291,0.56213810984868
avg_st_congruence,4413.0,0.03520383953401898,*,0.3030128841397552,0.37935231316303547
avg_density,4125.5,0.00873403091365464,**,0.4878153132711634,0.5693606802774662
avg_smelly_quitters,7409.0,0.0009764948597673096,***,0.2847123716290341,0.17397611909140057
