metric,bin,diff,p
SD_community,1-10,0.13913043478260867,0.19085233373150812
SD_community,11-25,-0.0355541134905184,0.9660315996812509
SD_community,26-60,0.14404926005439633,0.14562145295115034
SD_community,61-150,0.2450594723600421,0.566279574045329
SD_community,150+,0.04289647057874668,0.6282051282051282
SD_turnover,1-10,0.01207732367149758,0.9273575597431608
SD_turnover,11-25,-0.04016075639412994,0.06334101853902664
SD_turnover,26-60,-0.028963494128212197,0.1390769428363662
SD_turnover,61-150,-0.03095033557012994,0.6629166175161066
SD_turnover,150+,0.007416955872398212,0.9452214452214451
SD_stcongr,1-10,-0.1619048761904762,0.0374267652110637
SD_stcongr,11-25,0.04469028128654967,0.512367031616287
SD_stcongr,26-60,-0.050227407929107404,0.6214876163099501
SD_stcongr,61-150,-0.0034244618119787518,0.6629166175161066
SD_stcongr,150+,-0.037665689158570215,0.8356643356643356
SD_smellyq,1-10,0.032520341463414634,0.602798869080043
SD_smellyq,11-25,-0.06666698545926601,0.059777357799980904
SD_smellyq,26-60,0.029431625083986557,0.9178313952179186
SD_smellyq,61-150,0.014593041504123494,0.730753334722013
SD_smellyq,150+,0.0387733506190982,0.5337995337995338
TD_trad,1-10,-0.10317460317460325,0.7759577294263721
TD_trad,11-25,-0.32273519163763087,0.5453572833275413
TD_trad,26-60,0.6488936988936986,0.3484355335181025
TD_trad,61-150,0.606978514794166,0.032878297013652635
TD_trad,150+,-0.3937285673507226,0.0011655011655011655
TD_ml,1-10,0.0,0.16199931009966928
TD_ml,11-25,0.058333333333333334,0.19429337191893192
TD_ml,26-60,0.003814808579704135,0.9247973965528129
TD_ml,61-150,0.007763161198789656,0.323655399740822
TD_ml,150+,-0.0227632909779929,0.4452214452214452
TD_vuln,1-10,-0.09393939393939399,0.41012329598858
TD_vuln,11-25,-0.005606218379560934,0.9253550353849003
TD_vuln,26-60,-0.1103470241770303,0.4322788621999055
TD_vuln,61-150,0.18247560923839895,0.05689057445664306
TD_vuln,150+,0.007139610390640039,0.8356643356643356
