feature,U,p_value,sig,mean_active,mean_failed
avg_community_smells,11445.0,0.007636994684146664,**,0.6173815735856351,0.7166318307874535
avg_trad_smells,15746.0,0.024446131376772217,*,2.2694557037998395,1.809879396551715
avg_ml_smells,14601.0,0.3442143858005454,ns,0.1924369779415283,0.13211148916999427
avg_vuln,14819.0,0.23406321183979129,ns,0.8311824482275085,0.6409593996780621
avg_turnover,13243.0,0.5408065234215722,ns,0.25646264803113755,0.26378407196811665
avg_churn,14214.0,0.6184684958884734,ns,13726.54627291098,12157.906602098932
n_developers,14228.5,0.6066025091079884,ns,42.36746987951807,26.066265060240966
avg_smelly_devs,10721.0,0.00047311233845444435,***,0.5203058478563005,0.6181206391952817
avg_st_congruence,17787.5,4.539675201566936e-06,***,0.4262277724544442,0.3150015628903937
avg_density,16870.5,0.00040607242371199024,***,0.6014596332512762,0.518594715579322
avg_smelly_quitters,13185.5,0.49526462137986127,ns,0.18436900423580369,0.18893249657609423
