metric,bin,diff,p
SD_community,1-10,-0.12318840579710144,0.014097541875818805
SD_community,11-25,0.02619047619047621,0.7684775387384487
SD_community,26-60,-0.09018105335662108,0.06454657703008701
SD_community,61-150,-0.31077284055108856,0.09290328709689505
SD_community,150+,-0.2993537425497801,0.16083916083916086
SD_turnover,1-10,-0.043939401185770735,0.04246257389480747
SD_turnover,11-25,-0.01809171462838871,0.7625006172368056
SD_turnover,26-60,-0.004727856183789125,0.6731485636901662
SD_turnover,61-150,-0.058271744520973445,0.5853789284609614
SD_turnover,150+,-0.014208050327450428,0.5734265734265734
SD_stcongr,1-10,0.2142857142857143,0.00010821425779140026
SD_stcongr,11-25,0.022974465413533818,0.18596518410063234
SD_stcongr,26-60,0.07289960476068552,0.09915281263686831
SD_stcongr,61-150,0.10374165145756858,0.07010858465571475
SD_stcongr,150+,0.07879261923508954,0.3706293706293706
SD_smellyq,1-10,-0.025806451612903226,0.15035916604193458
SD_smellyq,11-25,-0.014736527639263253,0.7654643125238675
SD_smellyq,26-60,-0.07096972325917433,0.2406128181271009
SD_smellyq,61-150,-0.020205129168152036,0.4714517068389269
SD_smellyq,150+,-0.031396899892244534,0.5734265734265734
TD_trad,1-10,0.5380952380952384,0.00595723896807412
TD_trad,11-25,0.003392627911241286,0.2091199692795076
TD_trad,26-60,0.31215153417272834,0.5294011173142694
TD_trad,61-150,0.2010566121845493,0.5557349624423149
TD_trad,150+,0.2770026810995014,0.5734265734265734
TD_ml,1-10,0.023809523809523808,0.6256190469546437
TD_ml,11-25,0.05701754385964912,0.04518049532320727
TD_ml,26-60,-0.014225250841585782,0.7109199593766973
TD_ml,61-150,0.0038082099765214053,0.9825815319189385
TD_ml,150+,0.014239042330044076,0.8111888111888111
TD_vuln,1-10,0.1428571428571429,0.31461953582386215
TD_vuln,11-25,0.21666666666666662,0.053473674694929946
TD_vuln,26-60,-0.09486077536037252,0.6843640881807926
TD_vuln,61-150,-0.02835466603020903,0.9825901131969854
TD_vuln,150+,-0.02617572589906436,0.8111888111888111
